Gerätename,Langbezeichnung,Details,Hersteller,Bild,Geräteraum,GeräteraumDetails,GeräteraumBild
Feuerwehraxt,Feuerwehraxt,,,images/feuerwehraxt.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
Hacke klein,Hacke klein,,,images/axtklein.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
Hacke groß,Hacke groß,,,images/axtgroß.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
Sappel,Sappel,,,images/sappel.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
Hooligantool,Holligantool,,,images/hooligantool.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
Bolzenschneider,Bolzenschneider,,,images/bolzenschneider.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
Spaten,Spaten,,,images/spaten.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
Hammer 2kg,Hammer 2kg,,,images/hammer2kg.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
Hammer 5kg,Hammer 5kg,,,images/hammer5kg.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
Saugheber,Saugheber,,,images/saugheber.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
Mistschaufel,Mistschaufel,,,images/mistschaufel.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
Kohleschaufel,Kohleschaufel,,,images/kohleschaufel.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
Rauchfangkehrer Schlüssel,Rauchfangkehrer Schlüssel,,,images/rauchfangkehrerschlüssel.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
Brechstange klein,Brechstange klein,,,images/brechstangeklein.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
Brechstange groß,Brechstange groß,,,images/brechstangegroß.JPEG,Geräteraum 1,Ausklappfach Außen,images/GR1.jpg
